"Country","Pop.","GrowthRate","Area","Lat","Long","Cases","Deaths","Recovered","TotalCases","TotalDeaths","TotalRecovered","Region","en","fr","es","Pays","Cas","Décès","Rétablis","Région","case_rate","death_rate"
"Mauritius",1271768,"0.17%","2,040 km_",-20.2,57.5,227,7,7,244,7,7,"Eastern","Mauritius","Maurice","Mauricio","Maurice",244,7,7,"Est",191.86,5.5
"Morocco",36910560,"1.20%","446,550 km_",31.7917,-7.0926,1021,70,76,1120,80,81,"Northern","Morocco","Maroc","Marruecos","Maroc",1120,80,81,"Nord",30.34,2.17
"Mozambique",31255435,"2.93%","801,590 km_",-18.665695,35.529562,10,0,1,10,0,1,"Southern","Mozambique","Mozambique","Mozambique","Mozambique",10,0,1,"Sud",0.32,0
"Namibia",2540905,"1.86%","825,615 km_",-22.9576,18.4904,16,0,3,16,0,3,"Southern","Namibia","Namibie","Namibia","Namibie",16,0,3,"Sud",6.3,0
"Niger",24206644,"3.84%","1,267,000 km_",17.6078,8.0817,184,10,13,253,10,26,"Western","Niger","Niger","Níger","Niger",253,10,26,"Ouest",10.45,0.41
"Nigeria",206139589,"2.58%","923,768 km_",9.082,8.6753,232,5,33,238,5,35,"Western","Nigeria","Nigeria","Nigeria","Nigeria",238,5,35,"Ouest",1.15,0.02
"Republic of the Congo",5518087,"2.56%","342,000 km_",-4.0383,21.7587,45,5,2,45,5,2,"Central",NA,NA,NA,"Congo",45,5,2,"Centre",8.16,0.91
"Rwanda",12952218,"2.58%","26,338 km_",-1.9403,29.8739,104,0,4,105,0,4,"Eastern","Rwanda","Rwanda","Ruanda","Rwanda",105,0,4,"Est",8.11,0
"Sao Tome and Principe",219159,"1.91%","964 km_",1,7,0,0,0,4,0,0,"Central","Sao Tome and Principe","Sao Tomé et Principe","Santo Tomé y Príncipe","Sao Tomé et Principe",4,0,0,"Centre",18.25,0
"Senegal",16743927,"2.75%","196,722 km_",14.4974,-14.4524,222,2,82,226,2,92,"Western","Senegal","Sénégal","Senegal","Sénégal",226,2,92,"Ouest",13.5,0.12
"Seychelles",98347,"0.62%","452 km_",-4.6796,55.492,10,0,0,11,0,0,"Eastern","Seychelles","Seychelles","Seychelles","Seychelles",11,0,0,"Est",111.85,0
"Sierra Leone",7976983,"2.10%","71,740 km_",8.460555,-11.779889,6,0,0,6,0,0,"Western","Sierra Leone","Sierra Leone","Sierra Leona","Sierra Leone",6,0,0,"Ouest",0.75,0
"Somalia",15893222,"2.92%","637,657 km_",5.1521,46.1996,7,0,1,7,0,1,"Eastern","Somalia","Somalie","Somalia","Somalie",7,0,1,"Est",0.44,0
"South Africa",59308690,"1.28%","1,221,037 km_",-30.5595,22.9375,1655,11,95,1686,12,95,"Southern","South Africa","Afrique du Sud","Sudáfrica","Afrique du Sud",1686,12,95,"Sud",28.43,0.2
"South Sudan",11193725,"1.19%","619,745 km_",6.877,31.307,1,0,0,1,0,0,"Eastern","South Sudan","Soudan du Sud","Sudán del Sur","Soudan du Sud",1,0,0,"Est",0.09,0
"Sudan",43849260,"2.42%","1,886,068 km_",12.8628,30.2176,12,2,2,12,2,2,"Eastern","Sudan","Soudan","Sudán","Soudan",12,2,2,"Est",0.27,0.05
"Tanzania",59734218,"2.98%","945,087 km_",-6.369,34.8888,22,1,3,24,1,3,"Eastern",NA,NA,NA,"République-Unie de Tanzanie",24,1,3,"Est",0.4,0.02
"Togo",8278724,"2.43%","56,785 km_",8.6195,0.8248,44,3,20,58,3,23,"Western","Togo","Togo","Togo","Togo",58,3,23,"Ouest",7.01,0.36
"Tunisia",11818619,"1.06%","163,610 km_",34,9,574,22,5,596,22,5,"Northern","Tunisia","Tunisie","Túnez","Tunisie",596,22,5,"Nord",50.43,1.86
"Uganda",45741007,"3.32%","241,550 km_",1,32,52,0,0,52,0,0,"Eastern","Uganda","Ouganda","Uganda","Ouganda",52,0,0,"Est",1.14,0
"Zambia",18383955,"2.93%","752,612 km_",-15.4167,28.2833,39,1,3,39,1,5,"Southern","Zambia","Zambie","Zambia","Zambie",39,1,5,"Sud",2.12,0.05
"Zimbabwe",14862924,"1.48%","390,757 km_",-20,30,9,1,0,10,1,0,"Southern","Zimbabwe","Zimbabwe","Zimbabwe","Zimbabwe",10,1,0,"Sud",0.67,0.07
